Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,RMSE Training,MAE Training,MAPE Training,RMSE Testing,MAE Testing,MAPE Testing,Training Time (seconds)
"ARIMA(1, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,7650.6844,7609.9348,92.62,40.6527,31.4713,5.92,0.97
"ARIMA(2, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,7650.6052,7609.9244,92.62,40.2857,31.1082,5.87,1.21
"ARIMA(3, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,7650.6014,7609.9246,92.62,40.2089,31.0344,5.86,2.81
"ARIMA(4, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,7650.6015,7609.9246,92.62,40.2067,31.0319,5.86,3.2
"ARIMA(5, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,7650.6013,7609.9244,92.62,40.2207,31.0467,5.86,3.76
"ARIMA(6, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,7650.6013,7609.9244,92.62,40.2165,31.0424,5.86,4.57
"ARIMA(7, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,7650.6014,7609.9248,92.62,40.1954,31.0195,5.85,5.74
"ARIMA(8, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,7650.6012,7609.9255,92.62,40.1617,30.9795,5.85,8.92
"ARIMA(9, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,7650.6009,7609.9264,92.62,40.1237,30.9273,5.84,10.68
"ARIMA(10, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,7650.6007,7609.9271,92.62,40.0933,30.8775,5.83,11.9
"ARIMA(11, 0, 0)",Tidak,0.163139,Ya,0.001,Tidak,7650.6006,7609.9279,92.62,40.0652,30.8227,5.83,14.21
"ARIMA(12, 0, 0)",Tidak,0.627902,Ya,0.001,Tidak,7650.6004,7609.9287,92.62,40.0366,30.7587,5.82,15.34
"ARIMA(13, 0, 0)",Tidak,0.588338,Ya,0.001,Tidak,7650.6002,7609.9298,92.62,40.0101,30.7001,5.81,17.97
"ARIMA(14, 0, 0)",Tidak,0.556526,Ya,0.001,Tidak,7650.5999,7609.9307,92.62,39.9855,30.653,5.8,20.38
"ARIMA(15, 0, 0)",Tidak,0.611289,Ya,0.001,Tidak,7650.5996,7609.9316,92.62,39.9566,30.5817,5.79,21.93
"ARIMA(16, 0, 0)",Tidak,0.736685,Ya,0.001,Tidak,7650.5995,7609.9325,92.62,39.934,30.5059,5.78,26.29
"ARIMA(17, 0, 0)",Tidak,0.900131,Ya,0.001,Tidak,7650.5992,7609.9335,92.62,39.9025,30.3956,5.76,27.92
"ARIMA(18, 0, 0)",Tidak,0.977142,Ya,0.001,Tidak,7650.5991,7609.9344,92.62,39.8731,30.2577,5.74,28.75
"ARIMA(19, 0, 0)",Tidak,0.997565,Ya,0.001,Tidak,7650.5991,7609.9352,92.62,39.8438,30.0845,5.72,41.14
"ARIMA(20, 0, 0)",Tidak,0.999988,Ya,0.001,Tidak,7650.5988,7609.935,92.62,39.7958,29.7851,5.67,36.13
"ARIMA(21, 0, 0)",Tidak,0.999971,Ya,0.001000,Tidak,7650.5987,7609.9347,92.62,39.8047,29.8260,5.68,49.23
